appid,name,genres,tags,release_date,current_players,collected_at
2287080,FLUCTUOID,"['Action', 'Free To Play', 'Indie']",[],"28 Feb, 2023",0,2026-03-17T22:46:16.186253
339210,RESCUE 2: Everyday Heroes,"['Simulation', 'Strategy']",[],"3 Jun, 2015",1,2026-03-17T22:46:18.746254
2676810,POROTO,"['Action', 'Casual', 'Indie']",[],"25 Oct, 2024",0,2026-03-17T22:46:21.551864
2420140,Crushing Depths,['Adventure'],[],"13 Jun, 2023",0,2026-03-17T22:46:24.275558
4211620,Scary Cave Diving,"['Action', 'Adventure', 'Indie']",[],Q2 2026,0,2026-03-17T22:46:27.655369
2716150,Eternal Struggle,"['Action', 'Adventure', 'Indie']",[],Coming soon,0,2026-03-17T22:46:30.517920
4368350,Silly Linguine Cat Simulator Deluxe Online,"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Free To Play']",[],"27 Mar, 2026",0,2026-03-17T22:46:33.389065
2665040,The OG Cake Factory,"['Action', 'Adventure', 'Indie']",[],"16 Feb, 2025",0,2026-03-17T22:46:36.051939
1040720,The Color of the Roses,"['Adventure', 'Indie', 'Free To Play']",[],"27 Mar, 2019",0,2026-03-17T22:46:38.611619
2000360,CORGI,['Indie'],[],"28 May, 2022",0,2026-03-17T22:46:40.992660
2226780,Rimward Basilisk,"['Action', 'Indie']",[],"7 Dec, 2022",0,2026-03-17T22:46:43.830083
3625420,Moth,"['Indie', 'Simulation']",[],"14 Apr, 2025",0,2026-03-17T22:46:46.701481
3604490,Dining Deck,"['Indie', 'Strategy']",[],2027,0,2026-03-17T22:46:49.518926
603610,AEGIS 2186,"['Action', 'Indie', 'Early Access']",[],"14 May, 2017",0,2026-03-17T22:46:52.129058
4162630,MINOS: Home A-Labyrinth,"['Action', 'Strategy', 'Free To Play']",[],"17 Dec, 2025",3,2026-03-17T22:46:54.995806
3522230,Death Stream,"['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy']",[],"3 Mar, 2025",0,2026-03-17T22:46:57.760194
2582500,Sleepless Night,"['Indie', 'Simulation']",[],"2 Nov, 2023",0,2026-03-17T22:47:00.423581
2277840,Mythology Waifus Mahjong,"['Casual', 'Indie', 'Strategy']",[],"10 Mar, 2023",0,2026-03-17T22:47:03.187509
1663950,Battlemage: Magic by Mail,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",[],"12 Aug, 2021",0,2026-03-17T22:47:05.645542
2772610,Area 51 : Beyond The Wall,"['Action', 'Indie', 'Strategy']",[],"6 May, 2024",0,2026-03-17T22:47:08.410957
617630,Shadow Mist,"['Adventure', 'Casual', 'Indie', 'Strategy']",[],"10 May, 2017",0,2026-03-17T22:47:10.970307
1023720,Hidden Mysteries: Royal Family Secrets,['Adventure'],[],"14 Aug, 2019",0,2026-03-17T22:47:13.519115
3723650,Yandere Sacrifice,"['Action', 'RPG', 'Simulation']",[],To be announced,0,2026-03-17T22:47:16.397357
3453840,Dead Spaceshot,"['Action', 'Adventure', 'Indie', 'Early Access']",[],"3 Mar, 2025",0,2026-03-17T22:47:19.469385
1097570,The Hunter's Journals - Vile Philosophy,['Adventure'],[],"15 Jul, 2019",0,2026-03-17T22:47:22.029079
3565700,Forgedale,"['Action', 'Adventure', 'RPG']",[],"30 Oct, 2025",0,2026-03-17T22:47:24.897272
3010480,Shadow Trick,"['Action', 'Adventure', 'Indie']",[],"11 Sep, 2024",0,2026-03-17T22:47:27.866088
3419850,Trackastrophe!,"['Casual', 'Indie', 'Strategy']",[],Q2 2026,0,2026-03-17T22:47:30.733459
3127710,CONCRETE,"['Adventure', 'Indie', 'Simulation']",[],"30 Oct, 2024",0,2026-03-17T22:47:33.551476
4376430,Arena of Trials,"['Action', 'Adventure', 'Casual', 'Indie']",[],"14 Feb, 2026",0,2026-03-17T22:47:36.979735
2229930,Squirrel University Simulator,"['Action', 'Adventure', 'Casual', 'Free To Play', 'Indie']",[],Coming soon,0,2026-03-17T22:47:39.948826
2248350,Taste of War,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']",[],"20 Jan, 2023",0,2026-03-17T22:47:42.509250
